Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Clarence Williams,20.8,0,0,0,7,1970,1977,47,111,94,1,23,0,23,,51,,,,,
Chris Kelsay,20.63,0,0,0,8,2003,2012,46,147,120,3,20,1,17,21,32.5,443,293,150,56,57
Mike DeVito,20.6,0,0,0,5,2007,2015,46,110,57,0,0,0,0,3,5.5,250,157,93,17,10
Kabeer Gbaja-Biamila,20.6,0,0,1,5,2000,2008,43,124,74,1,72,1,72,11,74.5,302,225,77,74,34
Bill Quinlan,20.53,2,0,0,8,1957,1965,33,111,88,3,9,0,5,,18.5,,,,,
Brian Robison,20.5,0,0,0,6,2007,2017,46,173,103,0,0,0,0,19,60,289,207,82,68,112
Derrick Burgess,20.38,0,0,2,4,2001,2010,40,102,73,0,0,0,0,7,52,266,215,51,58,50
Jeff Merrow,20.33,0,0,0,8,1975,1983,46,108,100,0,0,0,0,,37.5,,,,,
Robert Geathers,20.3,0,0,0,7,2004,2014,46,152,104,3,68,1,36,20,34,326,184,142,44,73
Lloyd Voss,20.25,1,0,0,7,1964,1972,37,123,85,1,4,0,4,,24.5,,,,,
Erik Walden,20.25,1,0,0,6,2008,2017,37,145,88,2,22,0,20,10,35,356,244,112,50,96
Deatrich Wise Jr.,20.1,1,0,0,2,2017,2023,36,111,56,0,0,0,0,9,29,285,161,124,29,82
Ron Snidow,19.95,0,0,0,6,1963,1972,45,126,86,1,6,0,3,,40,,,,,
Don Brumm,19.93,0,0,1,6,1963,1972,42,111,84,0,0,0,0,,41,,,,,
Marcellus Wiley,19.9,0,0,1,5,1997,2006,42,147,79,2,92,0,52,17,44,322,240,82,47,1
Reggie Doss,19.83,0,0,0,6,1978,1987,45,149,89,0,0,0,0,,31,,,,,
Bill Gregory,19.83,2,0,0,3,1971,1980,32,142,63,2,6,0,3,,41.5,,,,,
Mike Bell,19.8,0,0,0,7,1979,1991,45,135,99,0,0,0,0,,52,,,,,
Tom Day,19.73,2,0,1,7,1960,1968,43,117,90,1,0,0,0,,19.5,,,,,
Fred Cook,19.65,0,0,0,7,1974,1980,44,104,104,2,9,0,8,,56,,,,,
