Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Terry Wooden,22.33,0,0,0,9,1990,1998,50,120,105,7,117,1,69,,10,700,614,86,,
Skip Vanderbundt,22.28,0,0,0,7,1969,1978,50,134,100,14,165,2,37,,8,,,,,
John Bunting,22.25,0,0,0,8,1972,1982,50,132,116,8,96,0,45,,14.5,,,,,
Allen Aldridge,22.18,1,0,0,7,1994,2001,40,128,104,1,4,0,4,7,10.5,482,351,131,18,
Johnie Cooks,22.18,1,0,0,7,1982,1991,40,128,97,4,25,0,15,,32,,,,,
Ted Washington,22.18,0,0,0,8,1973,1982,49,128,117,7,75,0,23,,45,,,,,
Jimmy Williams,22.15,0,0,0,10,1982,1993,49,152,136,13,91,0,48,,27.5,,,,,
Haason Reddick,22.08,0,0,2,4,2017,2023,43,114,81,0,0,0,0,19,58,410,263,147,69,99
Reggie Wilkes,21.85,0,0,0,7,1978,1987,49,137,106,8,35,0,11,,8.5,,,,,
Rey Maualuga,21.8,0,0,0,9,2009,2017,49,120,108,7,102,0,47,22,4,607,357,250,21,9
Larry Gordon,21.7,0,0,0,7,1976,1982,48,100,98,8,121,0,33,,17,,,,,
D.J. Williams,21.58,0,0,0,9,2004,2014,48,145,129,2,10,0,10,37,22.5,899,678,221,75,30
Brad Dusek,21.48,0,0,0,7,1974,1981,48,114,97,4,11,0,11,,14,,,,,
Charlie Hall,21.48,0,0,0,9,1971,1980,48,146,132,13,131,1,29,,6.5,,,,,
Whitney Paul,21.23,0,0,0,9,1976,1986,47,155,111,11,102,0,28,,47,,,,,
George Jamison,20.98,0,0,0,7,1987,1998,47,162,107,9,177,2,52,,20.5,585,557,28,,
Doug Cline,20.75,2,0,0,6,1960,1966,49,95,77,7,77,0,24,,11,,,,,
Larry Izzo,20.75,3,0,3,0,1996,2009,21,200,0,1,0,0,0,3,0,207,161,46,0,0
Bruce Scholtz,20.7,0,0,0,7,1982,1989,46,104,97,5,64,1,31,,9.5,,,,,
Lorenzo Alexander,20.68,0,0,2,4,2007,2019,40,191,58,3,37,0,28,31,33,472,338,134,46,86
Billy Ray Smith,20.63,0,0,0,7,1983,1992,46,126,111,15,99,0,21,,26.5,,,,,
Jim Ryan,20.6,0,0,0,7,1979,1988,46,150,91,5,41,0,21,,10,,,,,
Lucius Sanford,20.58,0,0,0,9,1978,1987,46,129,114,5,124,0,41,,13,,,,,
Al Beauchamp,20.55,0,0,0,8,1968,1976,49,125,107,15,144,2,34,,8.5,,,,,
Ben Leber,20.5,0,0,0,8,2002,2011,46,143,113,5,48,0,28,29,24,500,398,102,53,23
Cecil Johnson,20.48,0,0,0,6,1977,1985,46,111,90,9,101,0,36,,9.5,,,,,
Dave Washington,20.45,0,0,1,6,1970,1980,43,138,80,6,152,1,72,,21,,,,,
Vinson Smith,20.38,1,0,0,6,1988,1999,37,148,77,0,0,0,0,0,8,423,389,34,0,
Lonnie Marts,20.33,0,0,0,7,1991,2000,46,147,108,5,101,2,36,1,17,520,420,100,7,
Linden King,20.25,0,0,0,8,1978,1989,46,164,106,8,118,0,37,,29.5,,,,,
Deion Jones,20.1,0,0,1,5,2016,2023,42,109,91,13,384,5,90,53,12,731,475,256,50,24
James Francis,19.88,0,0,0,9,1990,1999,45,143,130,11,205,3,66,0,33.5,562,512,50,0,
Kwon Alexander,19.78,0,0,1,6,2015,2023,42,104,88,9,123,1,38,34,13.5,631,445,186,54,31
Tommy Crutcher,19.78,3,0,0,2,1964,1972,28,108,37,3,19,0,15,,1,,,,,
Pete Barnes,19.5,0,0,0,7,1967,1977,49,142,99,15,191,1,36,,15,,,,,
Zach Brown,19.4,0,0,1,5,2012,2019,41,100,80,7,204,2,79,22,17.5,664,462,202,59,32
Sam Rogers,19.3,0,0,0,7,1994,2003,44,133,94,2,34,0,24,6,30,380,271,109,19,
Derrick Rodgers,19.15,0,0,0,8,1997,2004,43,116,111,4,73,1,40,24,9,532,360,172,19,
Chris Martin,19.08,0,0,0,6,1983,1994,43,178,90,1,0,0,0,,20.5,610,610,0,,
Brendon Ayanbadejo,18.88,1,0,3,0,2003,2012,25,142,7,2,2,0,2,5,4.5,254,192,62,8,8
Dave Lewis,18.88,0,0,1,4,1977,1983,40,97,68,10,110,0,42,,9,,,,,
Tom Howard,18.83,0,0,0,6,1977,1985,43,113,98,7,25,0,19,,17.5,,,,,
Rob Fredrickson,18.7,0,0,0,9,1994,2002,42,128,119,5,79,1,34,12,15.5,738,544,194,31,
Patrick Queen,18.65,0,0,1,3,2020,2023,39,67,67,4,32,0,21,15,13.5,454,297,157,37,33
Ian Gold,18.48,0,0,1,5,2000,2007,39,115,80,4,51,1,31,30,17,527,436,91,43,7
Mike Wilcher,18.45,0,0,0,6,1983,1991,42,124,94,4,15,0,11,,38.5,,,,,
