Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Rashean Mathis,33.7,0,1,1,11,2003,2015,64,175,165,32,553,4,72,132,1,649,575,74,20,2
Tyrone Braxton,33.38,2,0,1,8,1987,1999,56,181,132,36,617,4,72,0,3.5,824,748,76,2,
Todd Lyght,33.38,1,0,1,11,1991,2002,60,175,167,37,462,4,59,49,6,835,735,100,10,
Rolland Lawrence,33.35,0,1,1,7,1973,1980,64,118,104,39,658,1,87,,1,,,,,
Samari Rolle,33.33,0,1,1,9,1998,2008,64,149,133,31,425,1,81,112,9.5,435,384,51,15,2
Bill Bradley,33.28,0,2,3,6,1969,1977,53,114,80,34,536,1,56,,2,,,,,
Joe Haden,33.23,0,0,3,10,2010,2021,62,158,148,29,290,2,62,155,3,615,504,111,14,6
Dave Waymer,33,0,0,1,11,1980,1992,68,197,155,48,536,0,44,,1,,,,,
Tim Foley,32.9,2,0,1,8,1970,1980,55,134,110,22,96,0,18,,0,,,,,
Antoine Winfield,32.85,0,0,3,12,1999,2012,62,191,173,27,259,2,56,117,7.5,1094,935,159,63,8
Monte Jackson,32.68,1,1,2,6,1975,1983,50,112,75,23,289,3,46,,0,,,,,
Jesse Whittenton,32.6,2,1,2,8,1956,1964,46,112,105,24,443,2,52,,0,,,,,
Ryan Clark,32.55,1,0,1,10,2002,2014,58,177,152,16,137,0,37,55,4,938,651,287,19,4
DeAngelo Hall,32.5,0,0,3,10,2004,2017,61,171,158,43,838,5,92,141,2,814,638,176,23,3
Kevin Byard,32.48,0,2,2,6,2016,2023,54,130,121,28,333,1,33,66,4,749,514,235,15,19
Kam Chancellor,32.33,1,0,4,7,2010,2017,49,109,93,12,168,0,52,44,2,607,421,186,17,3
Dave Whitsell,32.03,1,0,1,9,1958,1969,57,161,124,46,662,4,52,,0,,,,,
Reggie Nelson,31.98,0,0,2,11,2007,2018,63,181,164,38,486,1,75,101,6.5,832,618,214,24,24
Blaine Bishop,31.93,0,0,4,8,1993,2002,57,138,120,5,103,1,62,12,15.5,738,544,194,15,
Mark Collins,31.9,2,0,0,11,1986,1998,56,168,147,27,343,2,78,,8,753,725,28,,
Dre' Bly,31.83,1,0,2,7,1999,2009,54,167,117,43,652,5,93,150,5,528,463,65,22,3
Willie Buchanon,31.15,0,1,2,8,1972,1982,56,137,128,28,278,2,77,,0,,,,,
Ken Ellis,31.1,0,1,2,6,1970,1979,56,115,88,22,334,3,60,,0,,,,,
Brent Grimes,30.93,0,0,4,8,2007,2018,55,148,132,33,461,3,94,140,0,573,500,73,11,1
Mark Murphy,30.85,1,1,1,5,1977,1984,50,109,74,27,282,0,48,,2,,,,,
Tim McKyer,30.83,3,0,0,7,1986,1997,50,170,122,33,235,2,96,,3,470,455,15,,
Clarence Scott,30.83,0,0,1,12,1971,1983,64,186,166,39,407,2,49,,3,,,,,
Terrell Buckley,30.68,1,0,0,8,1992,2005,57,209,131,50,793,6,91,64,2,546,476,70,8,
Robert James,30.68,0,2,3,5,1969,1974,49,83,67,9,38,0,25,,0,,,,,
Ray Buchanan,30.43,0,0,1,10,1993,2004,63,184,165,47,827,4,90,83,3.5,823,703,120,8,
Ike Taylor,30.4,2,0,0,9,2003,2014,53,174,140,14,151,1,51,134,3,636,518,118,8,4
Nick Collins,30.28,1,0,3,6,2005,2011,48,95,95,21,507,4,62,68,1,421,345,76,11,5
Deon Grant,30.18,1,0,0,10,2001,2011,56,176,161,30,267,0,43,110,6.5,778,624,154,23,8
Marcus Robertson,30,0,1,0,10,1991,2002,60,162,144,24,458,0,69,20,1.5,795,639,156,2,
David Fulcher,29.95,0,1,3,7,1986,1993,51,103,98,31,246,2,28,,8.5,,,,,
Curtis Johnson,29.85,2,0,0,9,1970,1978,52,125,113,22,190,0,34,,1,,,,,
Gill Byrd,29.73,0,0,2,10,1983,1992,58,149,146,42,546,2,99,,0,,,,,
Roman Harper,29.68,1,0,2,8,2006,2016,49,156,140,11,148,2,41,67,18,820,641,179,40,43
Randy Logan,29.6,0,0,0,11,1973,1983,64,159,154,23,293,0,45,,3,,,,,
Mike Brown,29.58,0,1,1,7,2000,2009,56,116,115,20,288,4,72,46,7,626,510,116,14,6
Carlton Williamson,29.43,2,0,2,6,1981,1987,45,88,80,17,294,1,82,,1,,,,,
Nate Clements,29.4,0,0,1,11,2001,2012,61,180,168,36,508,5,62,144,4.5,826,669,157,36,7
Doug Evans,29.35,1,0,0,8,1993,2003,55,163,120,28,323,2,63,55,6,623,529,94,8,
Lenny Lyles,29.33,1,0,1,6,1958,1969,52,149,93,16,201,2,36,,0,,,,,
Tramon Williams,29.23,1,0,1,8,2007,2020,51,205,153,34,433,1,67,153,4.5,719,593,126,14,13
Mike Adams,29.18,0,0,2,8,2004,2019,57,228,149,30,337,2,56,90,6,935,708,227,19,25
Wes Hopkins,29.1,0,1,1,8,1983,1993,55,137,125,30,241,1,33,,12,,,,,
J.T. Thomas,29.1,3,0,1,6,1973,1982,43,125,89,20,147,0,38,,0,,,,,
Kermit Alexander,29,0,0,1,9,1963,1973,60,143,118,43,668,3,82,,0,,,,,
Marlon Humphrey,28.98,0,1,3,5,2017,2023,49,100,82,13,84,0,26,76,5.5,373,303,70,16,11
Dewayne Washington,28.9,0,0,0,11,1994,2005,63,191,171,31,569,5,81,85,1,807,712,95,15,
Henry Jones,28.88,0,1,1,8,1991,2002,55,158,134,18,455,4,85,15,5,713,585,128,3,
Robert Griffith,28.83,0,0,1,11,1994,2006,60,195,164,27,230,0,41,51,8.5,1076,846,230,36,0
Sammy Knight,28.8,0,0,1,11,1997,2008,60,183,168,42,664,4,91,74,9,1048,797,251,33,2
Walt Harris,28.73,0,0,1,12,1996,2008,59,193,174,35,332,4,42,129,3,762,644,118,16,2
Xavier Rhodes,28.73,0,1,3,8,2013,2022,48,135,127,13,207,2,100,92,0,457,388,69,16,0
Justin Simmons,28.7,0,0,2,6,2016,2023,56,118,108,30,442,1,65,64,4.5,604,443,161,19,5
Scott Case,28.68,1,0,1,8,1984,1995,50,178,125,30,267,1,47,,7.5,976,960,16,,
Ed Sharockman,28.68,0,0,0,9,1961,1972,62,142,124,40,804,3,47,,2,,,,,
Ashley Ambrose,28.48,0,1,1,8,1992,2004,54,192,141,42,512,3,73,86,1,515,475,40,7,
Goose Gonsoulin,28.48,0,2,5,7,1960,1967,52,108,94,46,551,2,64,,1,,,,,
Karl Kassulke,28.43,0,0,1,9,1963,1972,59,131,106,19,187,0,30,,8.5,,,,,
Terry Kinard,28.1,1,0,1,8,1983,1990,49,121,115,31,649,2,70,,3,,,,,
Shawn Springs,28.05,0,0,1,10,1997,2009,58,169,155,33,429,2,56,111,8.5,723,631,92,20,1
Bennie McRae,27.98,1,0,0,8,1962,1971,52,133,117,27,485,4,89,,1,,,,,
Greg Jackson,27.95,1,0,0,9,1989,2000,52,168,129,32,329,2,55,4,4,689,619,70,1,
Cortland Finnegan,27.93,0,1,1,7,2006,2015,53,133,111,18,426,4,99,87,7,662,541,121,23,11
Michael Griffin,27.85,0,0,2,9,2007,2016,55,154,139,25,328,1,83,60,7,813,605,208,28,20
Eric Turner,27.7,0,1,2,7,1991,1999,49,109,105,30,469,3,94,9,3,801,716,85,1,
Mike Reinfeldt,27.45,1,1,1,7,1976,1983,43,104,101,26,375,0,39,,2,,,,,
Eugene Daniel,27.4,0,0,0,13,1984,1997,60,207,192,38,483,3,97,,2,762,735,27,,
Kenny Graham,27.33,0,1,4,6,1964,1970,52,90,80,28,508,5,68,,1,,,,,
Al Harris,27.3,0,0,2,7,1998,2011,54,194,128,21,407,3,84,140,4,470,424,46,10,2
Fred Williamson,27.28,0,2,3,8,1960,1967,56,104,96,36,479,2,91,,0,,,,,
Kyle Fuller,27.13,0,1,2,5,2014,2022,48,113,105,19,199,0,35,86,0,444,371,73,9,0
Dominique Rodgers-Cromartie,27.13,0,0,2,7,2008,2019,53,162,121,30,535,6,99,146,2.5,455,396,59,16,4
Gary Barbaro,26.98,0,0,3,7,1976,1982,50,101,101,39,771,3,102,,1,,,,,
Irv Cross,26.95,0,0,2,8,1961,1969,53,125,112,22,258,2,94,,1.5,,,,,
Vann McElroy,26.93,1,0,2,6,1982,1990,44,111,88,31,296,1,35,,1,,,,,
Jordan Poyer,26.9,0,1,1,6,2013,2023,51,155,117,24,175,1,26,54,12,806,566,240,37,17
T.J. Ward,26.9,1,0,3,7,2010,2017,41,107,99,8,211,1,44,44,8.5,607,458,149,29,19
Tre'Davious White,26.9,0,1,2,5,2017,2023,48,82,82,18,210,0,63,68,3,311,242,69,12,6
Perry Williams,26.9,2,0,0,7,1984,1993,46,146,122,18,79,0,28,,5,,,,,
Burgess Owens,26.88,1,0,0,10,1973,1982,50,137,137,30,458,4,58,,1,,,,,
Steve Foley,26.8,0,0,0,9,1976,1986,59,150,136,44,622,1,40,,0,,,,,
John Harris,26.78,0,0,0,10,1978,1988,59,160,149,50,560,2,42,,3,,,,,
Lito Sheppard,26.78,0,1,2,7,2002,2011,48,126,79,19,460,3,102,86,3,350,306,44,5,2
Thomas Everett,26.7,2,0,1,9,1987,1995,42,128,117,21,255,0,32,,1,589,565,24,,
